epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.49611,1.08545,3.31233,1.25365,0.01007,0.93333,0.46102,0.33204,0.87878,3.27179,1.07233,0.000547495,0.000547495,0.000547495
2,12.5357,1.04663,2.57024,1.16442,0.93742,0.56111,0.79432,0.51522,1.08983,1.98707,1.28,0.00109952,0.00109952,0.00109952
3,18.5604,1.22596,2.53596,1.29044,0.77852,0.63863,0.76182,0.47371,1.23166,2.17332,1.38534,0.00164788,0.00164788,0.00164788
4,24.5712,1.28395,2.08073,1.33178,0.55588,0.66667,0.64778,0.36274,1.37697,3.08843,1.44297,0.0016505,0.0016505,0.0016505
5,30.584,1.18286,2.07848,1.27155,0.7531,0.56667,0.70814,0.44044,1.27948,2.02433,1.32393,0.001645,0.001645,0.001645
6,36.6127,1.26301,2.01047,1.29359,0.79052,0.52778,0.57334,0.37269,1.46197,2.25934,1.56217,0.00163949,0.00163949,0.00163949
7,42.6268,1.19834,1.90024,1.27971,0.78216,0.64764,0.71738,0.48755,1.16756,2.30969,1.24885,0.00163399,0.00163399,0.00163399
8,48.7032,1.09473,1.89456,1.25891,0.69945,0.8051,0.75594,0.50045,1.13822,3.16583,1.25445,0.00162849,0.00162849,0.00162849
9,54.7089,1.11755,1.75052,1.26816,0.84353,0.71435,0.83044,0.56662,1.12316,1.79171,1.19556,0.00162299,0.00162299,0.00162299
10,60.6994,1.00317,2.35502,1.1313,0.77387,0.63319,0.77437,0.51163,1.13848,1.89395,1.22663,0.00161749,0.00161749,0.00161749
11,66.7258,1.05955,2.11154,1.181,0.78439,0.69444,0.82241,0.587,1.05919,1.67122,1.14203,0.00161199,0.00161199,0.00161199
12,72.7275,1.10555,2.2841,1.18481,0.7857,0.67413,0.79011,0.54428,1.04579,1.73677,1.14756,0.00160649,0.00160649,0.00160649
13,78.734,1.03164,1.80632,1.12143,0.8885,0.66425,0.84078,0.60649,1.0554,1.54732,1.15613,0.00160099,0.00160099,0.00160099
14,84.7381,1.05118,1.72629,1.19277,0.84423,0.81094,0.89098,0.60134,1.09441,1.50615,1.1944,0.00159549,0.00159549,0.00159549
